symbol,company_name,yahoo_ticker,industry,sector,trailing_pe,forward_pe,peg_ratio,price_to_book,debt_to_equity,return_on_equity,return_on_assets,profit_margins,market_cap,promoter_holding_proxy_pct,industry_median_pe,company_news_sentiment,ceo_commentary_sentiment,pe_assessment,score,reason_summary,return_potential_flag
GPTINFRA,GPT Infraprojects Limited,GPTINFRA.NS,Engineering & Construction,Industrials,17.151897,,,2.8214798,33.327,,,0.07139,15410162688.0,69.368,19.837837,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
BFINVEST,BF Investment Limited,BFINVEST.NS,Asset Management,Financial Services,9.21571,,,0.21396968,,,,2.48617,15256818688.0,82.594,25.716920000000002,,,undervalued_vs_industry,5,PE favorable; Healthy margins; High insider/promoter proxy,Watchlist
DLINKINDIA,D-Link (India) Limited,DLINKINDIA.NS,Communication Equipment,Technology,14.0625,,,3.0942128,2.353,,,0.06963,14627820544.0,61.339999999999996,55.25397,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
DYCL,Dynamic Cables Limited,DYCL.NS,Electrical Equipment & Parts,Industrials,16.285301,,,3.3382955,18.848,,,0.07143,13691987968.0,68.181,24.875765,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
CLSEL,Chaman Lal Setia Exports Limited,CLSEL.NS,Packaged Foods,Consumer Defensive,14.34971,,,1.7753786,8.804,,,0.07329,13540718592.0,75.922996,30.943987,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
HESTERBIO,Hester Biosciences Limited,HESTERBIO.NS,Drug Manufacturers - Specialty & Generic,Healthcare,32.465416,,,3.9900017,60.852,,,0.12967,13375344640.0,68.745005,27.370273500000003,,,fair_vs_industry,5,PE acceptable; Healthy margins; Manageable debt; High insider/promoter proxy,Watchlist
DOLATALGO,Dolat Algotech Limited,DOLATALGO.NS,Capital Markets,Financial Services,10.868497,,,1.2466434,18.689,,,0.33442003,13247223808.0,30.828,19.719402,,,undervalued_vs_industry,5,PE favorable; Healthy margins; Manageable debt; Moderate insider/promoter proxy,Watchlist
ALLCARGO,Allcargo Logistics Limited,ALLCARGO.NS,Integrated Freight & Logistics,Industrials,18.680851,8.78,,1.2614942,,,,0.00153,13163127808.0,45.660000000000004,25.947369,,,undervalued_vs_industry,5,PE favorable; Forward PE improving; High insider/promoter proxy,Watchlist
EXPLEOSOL,Expleo Solutions Limited,EXPLEOSOL.NS,Information Technology Services,Technology,12.092023,,,1.8286577,2.866,,,0.09874,12868192256.0,71.045,23.156301499999998,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
DSSL,Dynacons Systems & Solutions Limited,DSSL.NS,Information Technology Services,Technology,14.327127,,,4.4181423,63.929,,,0.06216,12043888640.0,62.875,23.156301499999998,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
CAPITALSFB,Capital Small Finance Bank Limited,CAPITALSFB.NS,Banks - Regional,Financial Services,8.843059,6.4791155,,0.83544546,,0.099259995,0.01217,0.28381002,11976930304.0,38.573003,10.729022,,,undervalued_vs_industry,5,PE favorable; Forward PE improving; Healthy margins; Moderate insider/promoter proxy,Watchlist
GREENPOWER,Orient Green Power Company Limited,GREENPOWER.NS,Utilities - Independent Power Producers,Utilities,16.225807,,,0.9899627,41.218,,,0.23341,11810933760.0,27.974,24.351534,,,undervalued_vs_industry,5,PE favorable; Healthy margins; Manageable debt; Moderate insider/promoter proxy,Watchlist
EXCELINDUS,Excel Industries Limited,EXCELINDUS.NS,Specialty Chemicals,Basic Materials,15.526971,,,0.65074414,0.621,,,0.07143,11770594304.0,57.403999999999996,24.245389000000003,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
DAMCAPITAL,Dam Capital Advisors Limited,DAMCAPITAL.NS,Capital Markets,Financial Services,14.305677,,,3.7353766,1.278,,,0.34159002,11578366976.0,42.556,19.719402,,,undervalued_vs_industry,5,PE favorable; Healthy margins; Manageable debt; Moderate insider/promoter proxy,Watchlist
ADVENTHTL,Advent Hotels International Limited,ADVENTHTL.NS,Lodging,Consumer Cyclical,18.379372,,,0.00048261043,,,,0.22017,11342030848.0,62.471,29.1856325,,,undervalued_vs_industry,5,PE favorable; Healthy margins; High insider/promoter proxy,Watchlist
BAJAJHCARE,Bajaj Healthcare Limited,BAJAJHCARE.NS,Drug Manufacturers - Specialty & Generic,Healthcare,21.789246,,,2.2810798,48.929,,,0.0813,11138698240.0,64.798,27.370273500000003,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,BUTTERFLY.NS,"Furnishings, Fixtures & Appliances",Consumer Cyclical,24.937965,,,3.0894718,3.141,,,0.047420003,10781370368.0,81.32300000000001,58.81542,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
AFSL,Abans Financial Services Limited,AFSL.NS,Capital Markets,Financial Services,7.3204665,,,0.7856026,57.54,,,0.00792,10229318656.0,81.053,19.719402,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
